StageNumber,ILStageNumber,PointType,p_eff_kPa,VoidRatioInitialWaterContent,VoidRatioFinalWaterContentShifted
6,0,initial,20.1285323921953,1.34,1.348
6,1,t100,48.2040399603626,1.29607418853732,1.30407418853732
7,2,t100,92.8849113163608,1.24054751888684,1.24854751888684
8,3,t100,186.495027505371,1.16568033980522,1.17368033980522
9,4,t100,372.405701006019,1.07033137857004,1.07833137857004
10,5,t100,744.377282187624,0.9579064187839,0.9659064187839
11,6,t100,1478.82663986612,0.834499398934835,0.842499398934835
12,7,t100,994.536063706318,0.832784125106913,0.840784125106913
13,8,t100,429.963940018718,0.874801567659355,0.882801567659355
14,9,t100,212.838201337053,0.920759537676803,0.928759537676803
15,10,t100,105.162749350344,0.971353610099525,0.979353610099525
