LabID,TestID,Series,q_max_ref_kPa,FailureStrain_pct,BetaMaxPre,BetaMaxPreSE,BetaMaxPreR2,GammaIF,GammaIFR2,GammaIFN,GammaIFBasis,GammaIFModel,GammaMaxF,GammaMaxFR2,GammaMaxFN,GammaMaxFBasis,GammaMaxFModel,GammaEndFIncrease,GammaEndModelIncrease,GammaEndLinearR2Increase,GammaEndBilinearR2Increase,GammaEndDeltaAICcIncrease,GammaEndFReduction,GammaEndModelReduction,GammaEndLinearR2Reduction,GammaEndBilinearR2Reduction,GammaEndDeltaAICcReduction
A7,K-400-1,Kaolin K1,191.826410136451,11.7250612938042,0.0365573200058628,0.000513057534226616,0.998426514826751,0.0235000115149734,0.0706744011982839,19,Strain,Linear,0.0351377496359109,0.561696248921491,19,Strain,Bilinear,0.0273292135414184,Linear,0.987435021187906,0.993377250496901,-6.15758279071822,0.0383387449666409,Bilinear,0.124490470088984,0.853541781116718,0.728395065969423
A8,K-400-2,Kaolin K1,189.765245740935,11.4224416060958,0.0365304351043933,0.000685121266114334,0.997543202134095,0.0247571895279255,0.13126511169812,19,Strain,Linear,0.0349624353146001,0.0330134159455883,19,Strain,Linear,0.0292350044050316,Linear,0.158157961640079,0.436993219471742,-7.58619566733692,0.0410282532489843,Bilinear,0.0344588750581005,0.949169982601355,-5.27899189168863
F2,K-600,Kaolin K1,295.15654210441,14.8745774775157,0.0346610435365862,0.000784229871233426,0.994394094613593,0.0201226918461695,0.176421309537689,19,Strain,Linear,0.0342616447811073,0.236487009770579,19,Strain,Bilinear,0.0265315957874974,Linear,0.416822963095886,NaN,-Inf,0.0350355931963729,Bilinear,0.109652255366902,0.174155240936878,-19.6239735105722
D1,K-100-OC16,Kaolin K1,221.469080294453,12.3343800529705,0.0305692829725337,0.000146796426941167,0.999375080194781,0.0237857417510267,0.532562296946267,61,StressState,Linear,0.0306519687421755,0.96155363818489,60,StressState,Linear,0.0298556576888254,Bilinear,0.526385137879246,0.912463960131101,30.9727597822614,0.0316933591692697,Bilinear,0.641270410476458,0.921247765816833,21.1832725112044
D3,K-400-OC4,Kaolin K1,518.668850053527,10.8134692246203,0.0330543306337148,0.000969096236164423,0.992301929354745,0.023067610893524,0.369963362564797,19,StressState,Linear,0.0340959007391728,0.700614049013478,19,StressState,Linear,0.031754539317382,Linear,0.22349195162958,0.351174555050727,-8.92214027826024,0.0345710003704632,Bilinear,0.39535507258909,0.682095126224146,-6.14266486036908
E3,K95B5-400,Bentonite,206.870931215263,10.8351792237253,NaN,NaN,NaN,0.0301943621557566,0.298294229911805,9,LocalStressState,Linear,0.0452832352063928,0.154126324757901,8,LocalStressState,Linear,0.0468156709941186,Linear,0.881542693338487,0.904789202108217,-8.68924446566548,0.0290438127441104,Bilinear,0.263602092436605,0.682341995357675,-4.95522843428195
E1,K90B10-400,Bentonite,181.34912822845,13.4923254615372,NaN,NaN,NaN,0.0265617393432989,0.035412727870433,7,LocalStressState,Linear,0.0515441675809915,0.307366893230401,7,LocalStressState,Linear,0.0458055359893879,Linear,0.922040316457461,0.954814669374027,-6.72748405052069,0.0237024071561425,Bilinear,0.020483325044349,0.145965304648924,-19.3145627932594
E4,K80B20-400,Bentonite,159.145192112839,11.4187738266225,NaN,NaN,NaN,0.0484231391647439,0.546644510722165,9,LocalStressState,Linear,0.061314892712826,0.469247019417812,7,LocalStressState,Linear,0.0729570035630884,Linear,0.831363346962872,NaN,-Inf,0.00754020991605242,Bilinear,0.711101043974545,0.714694392014947,-19.937419603146
G4,K90SW10-400,Speswhite,196.22074227575,10.9751312902451,NaN,NaN,NaN,0.0238718459593479,0.578224296811439,9,LocalStressState,Linear,0.0243829057491021,0.530583857550885,8,LocalStressState,Linear,0.0213753541443021,Linear,0.0420578496492563,0.710322364221353,-Inf,0.0167916585387019,Bilinear,0.137953851367951,0.297948958312247,-18.9734865220639
G2,K75SW25-400,Speswhite,180.600189225367,10.7464231033208,NaN,NaN,NaN,0.0238498478293753,0.0137640106210802,8,LocalStressState,Linear,0.0263307438624189,0.0576103961292371,8,LocalStressState,Linear,0.0182620354405315,Linear,0.600890381491455,0.628119705676472,-9.57601540463904,0.00192660250791988,Bilinear,0.475245328145609,0.942611045849817,3.27847407962969
G3,K50SW50-400,Speswhite,182.474313908854,8.99377340564675,NaN,NaN,NaN,0.0311740999079647,0.000959092456995214,7,LocalStressState,Linear,0.0315404322142818,0.0583825584931458,7,LocalStressState,Linear,0.0103810940648732,Linear,0.344801389317699,0.502845103557401,-8.34377936988321,0.00244808561537373,Bilinear,0.586381697230776,0.590015932309502,-9.94704835056008
G1,SW-400,Speswhite,171.45717060071,8.08941527396827,NaN,NaN,NaN,0.0407592567442133,0.00387045418588194,8,LocalStressState,Linear,0.0449560871640237,0.0276680625151789,8,LocalStressState,Linear,0.0216708135311629,Linear,0.963505751670463,0.963508614134818,-9.99952936529697,0,Bilinear,0.557542396846217,0.859019880859503,6.86235459805533
