LabID,TestID,SoilComposition,Family,K_pct,B_pct,SW_pct,IsPureK1,InBentoniteSeries,InSpeswhiteSeries,wL_pct,Gs,CF_pct,pc_kPa,OCR,AnalysisMode,ReferenceRate_pct_min,q_max_ref_kPa,eps_s_max_ref_pct,qp_max_ref,Gamma_q_max_pre,R2_q_max_pre,N_q_max_pre,FitOK_q_max_pre,Gamma_q_max_post,R2_q_max_post,N_q_max_post,FitOK_q_max_post,Gamma_q_end_pre,R2_q_end_pre,N_q_end_pre,FitOK_q_end_pre,Gamma_q_end_post,R2_q_end_post,N_q_end_post,FitOK_q_end_post,Gamma_qp_max_pre,R2_qp_max_pre,N_qp_max_pre,FitOK_qp_max_pre,Gamma_qp_max_post,R2_qp_max_post,N_qp_max_post,FitOK_qp_max_post,Gamma_qp_end_pre,R2_qp_end_pre,N_qp_end_pre,FitOK_qp_end_pre,Gamma_qp_end_post,R2_qp_end_post,N_qp_end_post,FitOK_qp_end_post,Beta_max_pre,R2_beta_max_pre,N_beta_max_pre,NUsed_beta_max_pre,NOut_beta_max_pre,FitOK_beta_max_pre,Beta_max_post,R2_beta_max_post,N_beta_max_post,NUsed_beta_max_post,NOut_beta_max_post,FitOK_beta_max_post,Beta_end_pre,R2_beta_end_pre,N_beta_end_pre,NUsed_beta_end_pre,NOut_beta_end_pre,FitOK_beta_end_pre,Beta_end_post,R2_beta_end_post,N_beta_end_post,NUsed_beta_end_post,NOut_beta_end_post,FitOK_beta_end_post
D1,K-100-OC16,K100,K1,100,0,0,1,1,1,47,2.68,35,100,16,Step,0.05,221.469080294453,12.3343800529705,0.940553794679459,0.0225404106460492,0.921088098196572,36,1,0.0299455260551629,0.999087080574713,25,1,0.0233419981554312,0.936348186762328,26,1,0.0298030112659564,0.998661731993839,17,1,0.0263085081686977,0.89927880598976,21,1,0.0198879338187552,0.985691391872111,40,1,NaN,NaN,0,0,NaN,NaN,0,0,0.0305256613427429,0.999286702521059,36,28,8,1,0.031679839319613,0.999237904666058,25,25,0,1,0.0305445335674339,0.998957698464499,26,23,3,1,0.0316954645213598,0.998935641400288,17,17,0,1
A7,K-400-1,K100,K1,100,0,0,1,1,1,47,2.68,35,400,1,Step,0.1,191.826410136451,11.7250612938042,0.806316852818511,0.0323328276012976,0.994134900749211,10,1,0.0312053272910842,0.99451517166889,9,1,0.0319649991049261,0.993745506408323,8,1,0.030876827198059,0.994591676184519,9,1,0.0192708056141812,0.988459832343097,12,1,0.0204075687661269,0.992340982834346,7,1,NaN,NaN,0,0,NaN,NaN,1,0,0.0367198918152874,0.997431310819357,10,10,0,1,0.033682590871562,0.999370658241007,9,9,0,1,0.0360819439739852,0.99881577265377,8,8,0,1,0.0333355231436881,0.998880202247356,9,9,0,1
A8,K-400-2,K100,K1,100,0,0,1,1,1,47,2.68,35,400,1,Step,0.1,189.765245740935,11.4224416060958,0.803276792545141,0.0326109678906737,0.992588112555272,9,1,0.0361766279965144,0.997189003170092,10,1,0.0324250816289101,0.99027371262642,6,1,0.0355850081223766,0.997105708945822,8,1,0.0199177609775865,0.981345118556467,12,1,0.0221821918180164,0.98881283379588,7,1,NaN,NaN,1,0,NaN,NaN,0,0,0.0365422874037219,0.996567200745911,9,9,0,1,0.03783024196452,0.99851867806938,10,10,0,1,0.0354338838593589,0.997786868488721,6,6,0,1,0.0372100944770619,0.998600119632052,8,8,0,1
D3,K-400-OC4,K100,K1,100,0,0,1,1,1,47,2.68,35,400,4,Step,0.05,518.668850053527,10.8134692246203,0.86889952313507,0.0276434566266757,0.95668166138337,10,1,0.0311518550388199,0.997127299296688,9,1,0.0270247585361392,0.952654292380195,8,1,0.0303869374860746,0.995587331264112,9,1,0.0183042353516224,0.973340308952902,10,1,0.018136932634368,0.996201428764771,9,1,NaN,NaN,1,0,0.0173935069731723,-0.0157656039349583,2,0,0.0330295395440758,0.992104627512168,10,10,0,1,0.033072199369281,0.99650015365914,9,9,0,1,0.0320219753641622,0.989871794184125,8,8,0,1,0.0322895150110957,0.993323028283226,9,9,0,1
F2,K-600,K100,K1,100,0,0,1,1,1,47,2.68,35,600,1,Step,0.05,295.15654210441,14.8745774775157,0.798931714883636,0.0310612830283278,0.995036673484787,12,1,0.0306345823164328,0.998603859729899,7,1,0.0307621894578159,0.995056676206159,11,1,0.0302510228795604,0.998789616234047,7,1,0.0167304098113987,0.985941111350045,13,1,0.0174093221828547,0.99101741996472,6,1,NaN,NaN,1,0,NaN,NaN,0,0,0.0346610435365862,0.994394094613593,12,12,0,1,0.0325878256909773,0.998001154522545,7,7,0,1,0.0340794580761157,0.997828379532449,11,11,0,1,0.0322008843936857,0.996913858916619,7,7,0,1
G3,K50SW50-400,K50SW50,K1+Speswhite,50,0,50,0,0,1,57,NaN,57.25,400,1,Step,0.005,182.474313908854,8.99377340564675,0.845426496773644,0.0293310138885026,0.99394373817007,7,1,0.0158642217003657,0.906149072979165,12,1,0.00347298480734972,0.589408613929764,5,0,0.00809864692325121,0.900255217514207,13,1,0.0211985801971988,0.999243502953039,8,1,0.0145890490809022,0.948056772658721,11,1,NaN,NaN,0,0,NaN,NaN,0,0,0.0302709291055949,0.988017391114202,7,6,1,1,0.0192576980209667,0.977072653962,12,12,0,1,0.00363836893645849,0.597966600200475,5,5,0,0,0.0103664888151826,0.895076987167455,13,13,0,1
G2,K75SW25-400,K75SW25,K1+Speswhite,75,0,25,0,0,1,52,NaN,46.125,400,1,Step,0.005,180.600189225367,10.7464231033208,0.842615696120316,0.0237642373024602,0.994352994689767,10,1,0.0176533089234192,0.979600362839816,9,1,0.0040097470043671,0.427517973852533,7,0,0.00851684827382059,0.866097192588312,8,1,0.0157597173513367,0.99320337941758,13,1,0.0145665536843812,0.991302190178997,6,1,NaN,NaN,0,0,NaN,NaN,0,0,0.0258389886689194,0.972748137599725,10,10,0,1,0.019244983610838,0.99308382376672,9,9,0,1,0.00420822263082016,0.418016594933392,7,7,0,0,0.00943679260503043,0.870865957718325,8,8,0,1
E4,K80B20-400,K80B20,K1+Bentonite,80,20,0,0,1,0,107,NaN,44.8,400,1,Step,0.001,157.11795516336,11.4187738266225,0.703483925923212,0.0583685037340665,0.981117356463727,9,1,0.0410526019264357,0.747277113850482,6,1,0.0241704682157069,0.4171885306049,5,0,0.0921474054215335,-2.76028971434801,2,0,0.032745253249897,0.979187047088081,13,1,0.0129312656767088,0.0431277212893011,2,0,NaN,NaN,0,0,NaN,NaN,0,0,0.0651966480406131,0.969833134717247,9,9,0,1,0.0556996191271614,0.96941935261142,6,5,1,1,0.025362083323482,0.422059466567307,5,5,0,0,0.090319256732078,-3.40004402183859,2,2,0,0
E1,K90B10-400,K90B10,K1+Bentonite,90,10,0,0,1,0,84,NaN,39.9,400,1,Step,0.005,181.34912822845,13.4923254615372,0.76754972539476,0.0450581694471026,0.980790256393842,12,1,0.0334461358970556,0.96597219207614,7,1,0.0281760615785942,0.793579678436356,10,1,0.0256281100073826,0.95155264838322,7,1,0.0264926319234865,0.982185583198767,12,1,0.0223625710337744,0.978817288045665,7,1,NaN,NaN,0,0,NaN,NaN,0,0,0.0501865646003771,0.966002477220583,12,12,0,1,0.0367511150801426,0.982342023431725,7,7,0,1,0.0315918746019423,0.808572174393751,10,10,0,1,0.0283072005649592,0.960385360768603,7,7,0,1
G4,K90SW10-400,K90SW10,K1+Speswhite,90,0,10,0,0,1,49,NaN,39.45,400,1,Step,0.005,196.22074227575,10.9751312902451,0.860561108501825,0.0219677052482631,0.993385712975755,10,1,0.020671304710929,0.987794349466261,9,1,0.0173753500195843,0.968964078414768,8,1,0.0184195307249932,0.991670230427275,9,1,0.0155097523863658,0.990307513313529,13,1,0.0152580428100757,0.992010691186073,6,1,NaN,NaN,0,0,NaN,NaN,0,0,0.0245374995744204,0.975597091246709,10,10,0,1,0.0220539715787247,0.990343248538007,9,9,0,1,0.0190078583736004,0.983066335505356,8,8,0,1,0.0197132246621947,0.985190002635772,9,9,0,1
E3,K95B5-400,K95B5,K1+Bentonite,95,5,0,0,1,0,65,NaN,37.45,400,1,Step,0.005,206.870931215263,10.8351792237253,0.831625230947478,0.0407936249487225,0.99468613685953,9,1,0.0367803723644597,0.985219294749995,10,1,0.0325170753632119,0.973259236479469,8,1,0.0282416213092538,0.964372045566655,9,1,0.0235928871639592,0.987027949497714,12,1,0.0220441254432818,0.981899395746106,7,1,NaN,NaN,1,0,NaN,NaN,0,0,0.0457071593863163,0.983821553248357,9,9,0,1,0.0386987353920071,0.991616978037501,10,10,0,1,0.0359302658894573,0.975592462394726,8,8,0,1,0.02979957844568,0.967478387538603,9,9,0,1
G1,SW-400,SW100,Speswhite,0,0,100,0,0,1,67,2.6,79.5,400,1,Step,0.05,171.45717060071,8.08941527396827,0.864886192425484,0.0384329629472873,0.980186585863196,7,1,0.0227625984391898,0.939248286948698,12,1,0.00745277761274678,0.708485188845842,5,1,0.00656957058887768,0.642299333850092,13,0,0.0260757179969295,0.986761971470645,10,1,0.0187562555977009,0.948738599132897,9,1,NaN,NaN,0,0,NaN,NaN,0,0,0.040080754621337,0.965536474612564,7,7,0,1,0.0249659692257392,0.972374657639936,12,12,0,1,0.00776197403782398,0.713122576274175,5,5,0,1,0.00757690409013538,0.655790300970063,13,13,0,0
