SourceFile,ModifiedLocal,Bytes,SHA256
Processed data and results/A7_shear.mat,14-Sept-2026 12:42:47,880750,97ea721264f271cdf30d08126ea0bd170234dc89b2688b7e997e529031967d68
Processed data and results/A7_voidratio.mat,14-Sept-2026 12:42:47,1336,6ee302e2142f9b0870df1576360f0298ca425be319df839d5a9b74480c784159
Processed data and results/A7_t_100.mat,14-Sept-2026 12:42:47,5306,2d666423f09974b896f60e820596fe80f0e46ffe6dfc8157e6ebc9924f30b7ed
Processed data and results/A8_shear.mat,14-Sept-2026 12:42:47,935486,bfa80b3ec6c9e2711a238e01117ca1dda8aca6529fbce61de0987b3d6802d17f
Processed data and results/A8_voidratio.mat,14-Sept-2026 12:42:47,1325,efb7ffb8744d26e0abdc66504e8977e611cf845a0b0504af430ddb90d6003691
Processed data and results/A8_t_100.mat,14-Sept-2026 12:42:47,5302,7ba5158ac616885b11855925209ab6da0e33dd472500306be4bb7a7dd455bddf
Processed data and results/A9_shear.mat,09-Sept-2026 09:34:23,1550136,b466421f4bd7ffb506e928266a969fde44137842825ae18c6e1404b8f152223d
Processed data and results/A9_voidratio.mat,09-Sept-2026 09:34:23,1300,d0b8102b8725caa2eb3063bc450ce4887a6498565d713d74481a895da2836e80
Processed data and results/A9_t_100.mat,09-Sept-2026 09:34:23,5314,72c1eaec3a0d332d15c294718c95a39bb7819ef97fd1707cfa96d47fa88d7bec
Processed data and results/D1_shear.mat,14-Sept-2026 12:42:47,1406105,3b064505b7de25fc18d57be9e9f86dac45997df9d20ea7c30787338b7a0c02ca
Processed data and results/D1_voidratio.mat,14-Sept-2026 12:42:47,1330,084dabdd187f7463ac22a6451ad8df6b1fa6861b45c977b47598a757c2d65aca
Processed data and results/D1_t_100.mat,14-Sept-2026 12:42:47,7546,4c8e6174ce5a13579ab3bc5365d7efdd391cb0a0020c7007ac3c1443602271d1
Processed data and results/D3_shear.mat,14-Sept-2026 12:42:47,1526667,799c164b5590d4bfe1c4bbac4a4ea65b5fa7aa6daa4ee3eb08819a5f771d749d
Processed data and results/D3_voidratio.mat,14-Sept-2026 12:42:47,1335,ccde7d66aa916d9e746871144b9b0ed8f83901e3c2ceaa6b4ce4ab1cbb9fccd3
Processed data and results/D3_t_100.mat,14-Sept-2026 12:42:47,6894,d6b55fe0f69e65794cb63865073c516e355f8b658b9546ff84e9b56677d9291d
Processed data and results/E1_shear.mat,14-Sept-2026 12:42:47,6954457,51a202647dd4a0081478bdde51618ddaf5b27338b67add6bb5d401e2342a07da
Processed data and results/E1_voidratio.mat,14-Sept-2026 12:42:47,1336,66c78f0aac15fee039b6357522c8dc295410e40250dba57d17c718f629272e72
Processed data and results/E1_t_100.mat,14-Sept-2026 12:42:47,5440,2d8aba0ef21b97556faca868687e006dc5d1da2a5bf63f7223bcc726669c1e26
Processed data and results/E3_shear.mat,14-Sept-2026 12:42:47,1192458,a2b8391eacb0f5012f6b418ed32e0cf5eb88fecce5b2eea2c83596aa01b1867c
Processed data and results/E3_voidratio.mat,14-Sept-2026 12:42:47,1324,c2cd294bff12033f38d29e86e81f6bd0b17b689dbe2c709a1072430e23c44c59
Processed data and results/E3_t_100.mat,14-Sept-2026 12:42:47,5309,d6b82922777132e49ec7e55753b91001520f5fbc0999466d7d0962fc5ea7aecc
Processed data and results/F2_shear.mat,14-Sept-2026 12:42:47,1458903,3c84617e640344b0aaed877c35cf682be0d3f5531f62775093da96df51df779e
Processed data and results/F2_voidratio.mat,14-Sept-2026 12:42:47,1326,29d06a65d7dc4d661edf95ed4c72fadaba4049a3bfbfd97c9d97d45a080f3292
Processed data and results/F2_t_100.mat,14-Sept-2026 12:42:47,5825,8d56d85ca0ca5a736c063574d3e5f09721ce837641f6106bee84fcbf55dac639
Processed data and results/G1_shear.mat,14-Sept-2026 12:42:47,239231,866ce95f495cfb055c4124b1c2e811c42199068402fd06c55d3f729859d099d4
Processed data and results/G1_voidratio.mat,14-Sept-2026 12:42:47,1328,3f46b2d6fa5a102c1c736302bd8779c7213bc5531f6f454f03f5d83a0b769b7a
Processed data and results/G1_t_100.mat,14-Sept-2026 12:42:47,5288,fa8ade7051c2754b44f03afd997691ff13d322ba97b2f1c2b0e72a0c1f424e83
Processed data and results/G2_shear.mat,14-Sept-2026 12:42:47,1943152,83e959450ab3a79ba73773497ee2845b987c378f1f5bf46d82dbe180f8a4c272
Processed data and results/G2_voidratio.mat,14-Sept-2026 12:42:47,1326,8efc8d3a27738236ff9f4ea4b64c8374964f83c4720ae49b8d8ca08c76134fdd
Processed data and results/G2_t_100.mat,14-Sept-2026 12:42:47,5352,003c4d8e76949cdf09bf20c934304141c1d4fa740beeee95d9669efab0d03c9e
Processed data and results/G3_shear.mat,14-Sept-2026 12:42:48,2053075,5731d88f6e10dc3caffc73020d45b8db7625a98f03ca8d4b3b4a911c6ffa9055
Processed data and results/G3_voidratio.mat,14-Sept-2026 12:42:48,1328,ecc07823935c1982b6bca1279e5734c8210ef6a7b3a2ef8b086e0d78dd807fd0
Processed data and results/G3_t_100.mat,14-Sept-2026 12:42:48,5330,d6b1332393ed31fa505d801053c9ddba01aa938866194716ba7e87bf103fc097
Processed data and results/E4_shear.mat,14-Sept-2026 12:42:47,4764383,3ca50f1209fb26c83a4d561858ede72a15e9e523b3295b0c4922b283381edd13
Processed data and results/E4_voidratio.mat,14-Sept-2026 12:42:47,1333,ab7676f5f9f7f13e45d942bf7149b2f06f8385409ae044c44ade8e7e14e7732a
Processed data and results/E4_t_100.mat,14-Sept-2026 12:42:47,4776,357eaabc0cffb2a2c3a813cfde32b35c10dac5ef7f7bb12d13aedc3545aed12a
Processed data and results/G4_shear.mat,14-Sept-2026 12:42:48,2057860,d82005bf96206ebeee606716f974bfeeb0f4fd2ad5171da0c82699adc1a7236e
Processed data and results/G4_voidratio.mat,14-Sept-2026 12:42:48,1310,5f1e5cdd0fa341867510a505cb1463580ca48387c25278200b01b990cdbffb6f
Processed data and results/G4_t_100.mat,14-Sept-2026 12:42:48,5312,36055b618da4187b591c021f6ac2c34b7c4f57a46a6ca5d1f18057901cdd089a
Processed data and results/master_rate_effects_table.csv,09-Sept-2026 09:34:23,8050,f7f39fe0fd739dae45d98f6442af2846df23cd4bbeae72f6d7c235d4ca886ada
Processed data and results/Paper_specimen_rate_effect_parameters.csv,16-Sept-2026 10:28:19,4823,29620b70f6cf291f94137264b7e03a64d3b69c57862759a5ad5ca2501769d6fe
Processed data and results/Paper_gamma_excluded_stages.csv,16-Sept-2026 10:28:19,83,7e6f5e465871f1c8109961bca40d5517d7c0dea3a60aae95e20a411423f443c2
