SourceRow,StageNumber,TimeSinceStartOfTest_s,TimeSinceStartOfStage_s,ShearStrain_pct,q_kPa,p_eff_kPa,PorePressure_kPa,ExcessPorePressure_kPa,VoidRatioInitialWaterContent,VoidRatioFinalWaterContentShifted,AxialStrainRate_pct_min,ShearStrainBeforeCompliance_pct,qBeforeCompliance_kPa,pEffBeforeCompliance_kPa,PlotValid
1,11,930443,0,0,2.80517423518222,398.735058078394,702.2,0,1.0334645604989,1.0464645604989,0.00467085097064422,0,2.80517423518222,398.735058078394,1
2,11,930449,6,0,2.96981559651999,398.889938532173,702.1,-0.100000000000023,1.0334645604989,1.0464645604989,0.00466225079496178,0,2.96981559651999,398.889938532173,1
3,11,930455,12,0.000211182091758619,3.5185009486554,398.772833649552,702.4,0.199999999999932,1.0334645604989,1.0464645604989,0.00464553724603625,0.000211182091758619,3.5185009486554,398.772833649552,1
4,11,930461,18,0.00147827464231033,4.5604990421275,398.720166347376,702.8,0.599999999999909,1.0334645604989,1.0464645604989,0.00462976124242574,0.00147827464231033,4.5604990421275,398.720166347376,1
5,11,930467,24,0.00232300300934481,5.54783871155928,398.44927957052,703.4,1.19999999999993,1.0334645604989,1.0464645604989,0.00463405231536566,0.00232300300934481,5.54783871155928,398.44927957052,1
6,11,930473,30,0.0033789134681379,6.42527893286137,398.241759644287,703.9,1.69999999999993,1.0334645604989,1.0464645604989,0.00463846380110994,0.0033789134681379,6.42527893286137,398.241759644287,1
7,11,930479,36,0.00464600601868962,7.30257342793584,398.134191142645,704.3,2.09999999999991,1.0334645604989,1.0464645604989,0.00464230106969451,0.00464600601868962,7.30257342793584,398.134191142645,1
8,11,930485,42,0.00549073438572409,8.01547142325694,398.271823807752,704.4,2.19999999999993,1.0334645604989,1.0464645604989,0.00464626609518266,0.00549073438572409,8.01547142325694,398.271823807752,1
9,11,930491,48,0.0067578269362758,8.23420626786515,398.344735422622,704.4,2.19999999999993,1.0334645604989,1.0464645604989,0.00463181418025593,0.0067578269362758,8.23420626786515,398.344735422622,1
10,11,930497,54,0.0078137373950689,8.17868433800959,398.12622811267,704.6,2.39999999999998,1.0334645604989,1.0464645604989,0.00463568965212131,0.0078137373950689,8.17868433800959,398.12622811267,1
11,11,930503,60,0.00886964785386199,8.34266591143592,398.080888637145,704.7,2.5,1.0334645604989,1.0464645604989,0.00463966879558023,0.00886964785386199,8.34266591143592,398.080888637145,1
12,11,930509,66,0.00992555831265509,8.61639402110723,397.872131340369,705,2.79999999999995,1.0334645604989,1.0464645604989,0.00462613673584603,0.00992555831265509,8.61639402110723,397.872131340369,1
13,11,930515,72,0.0109814687714482,9.16448847139077,397.954829490464,705.1,2.89999999999998,1.0334645604989,1.0464645604989,0.00461325438543659,0.0109814687714482,9.16448847139077,397.954829490464,1
14,11,930521,78,0.0120373792302413,9.76744517951602,397.955815059839,705.3,3.09999999999991,1.0334645604989,1.0464645604989,0.00461747940551357,0.0120373792302413,9.76744517951602,397.955815059839,1
15,11,930527,84,0.0130932896890344,10.4801356751402,397.79337855838,705.7,3.5,1.0334645604989,1.0464645604989,0.00462176778103506,0.0130932896890344,10.4801356751402,397.79337855838,1
16,11,930533,90,0.0139380180560688,11.2478193199297,397.449273106643,706.3,4.09999999999991,1.0334645604989,1.0464645604989,0.00460960910513111,0.0139380180560688,11.2478193199297,397.449273106643,1
17,11,930539,96,0.0152051106066206,12.0152156845807,397.20507189486,706.8,4.59999999999991,1.0334645604989,1.0464645604989,0.00461375892544218,0.0152051106066206,12.0152156845807,397.20507189486,1
18,11,930545,102,0.016049838973655,12.7828701231522,396.960956707718,707.3,5.09999999999991,1.0334645604989,1.0464645604989,0.0046179613380802,0.016049838973655,12.7828701231522,396.960956707718,1
19,11,930551,108,0.0171057494324481,13.5503711862486,396.716790395416,707.8,5.59999999999991,1.0334645604989,1.0464645604989,0.00462174954224419,0.0171057494324481,13.5503711862486,396.716790395416,1
20,11,930557,114,0.0181616598912412,14.3178560236679,396.472618674556,708.3,6.09999999999991,1.0334645604989,1.0464645604989,0.00462559766526756,0.0181616598912412,14.3178560236679,396.472618674556,1
21,11,930563,120,0.0190063882582757,15.1403382984674,396.646779432822,708.4,6.19999999999993,1.0334645604989,1.0464645604989,0.00461419291728116,0.0190063882582757,15.1403382984674,396.646779432822,1
22,11,930569,126,0.0200622987170688,15.9626611711117,396.420887057037,708.9,6.69999999999993,1.0334645604989,1.0464645604989,0.00461793220885568,0.0200622987170688,15.9626611711117,396.420887057037,1
23,11,930575,132,0.0211182091758619,16.8398355231127,396.213278507704,709.4,7.19999999999993,1.0334645604989,1.0464645604989,0.00462172191169417,0.0211182091758619,16.8398355231127,396.213278507704,1
